Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Year,PFTR,PHT,PAT,PFTHG,PFTAG
2012-10-28,Everton,Liverpool,2.0,2.0,D,2012,D,1.5842816500711239,1.4437367303609343,1,1
2012-10-28,Newcastle,West Brom,2.0,1.0,H,2012,D,1.3655761024182076,1.4549111632584648,1,1
2012-10-28,Southampton,Tottenham,1.0,2.0,A,2012,D,1.294452347083926,1.984579282601408,1,1
2012-11-03,Fulham,Everton,2.0,2.0,D,2012,D,1.1450924608819346,1.4750251424740195,1,1
2012-11-03,Man United,Arsenal,2.0,1.0,H,2012,D,1.120199146514936,1.061571125265393,1,1
2012-11-03,Norwich,Stoke,1.0,0.0,H,2012,H,1.0224039829302987,0.5810705106715833,1,0
2012-11-03,Sunderland,Aston Villa,0.0,1.0,A,2012,D,1.4580369843527738,1.019108280254777,1,1
2012-11-03,Swansea,Chelsea,1.0,1.0,D,2012,D,1.1450924608819346,1.9756397362833837,1,1
2012-11-03,Tottenham,Wigan,0.0,1.0,A,2012,H,1.7532005689900427,0.8447871270533022,1,0
2012-11-03,West Ham,Man City,0.0,0.0,D,2012,D,1.1486486486486487,1.2291876187283497,1,1
2012-11-04,Liverpool,Newcastle,1.0,1.0,D,2012,H,2.1710526315789473,0.7509218907140464,2,0
2012-11-04,QPR,Reading,1.0,1.0,D,2012,A,0.9246088193456614,1.2515364845234103,0,1
2012-11-05,West Brom,Southampton,2.0,0.0,H,2012,H,2.0483641536273116,1.285059783216002,2,1
2012-11-10,Arsenal,Fulham,3.0,3.0,D,2012,H,2.5071123755334286,1.1308526092300817,2,1
2012-11-10,Aston Villa,Man United,2.0,3.0,A,2012,A,0.9815078236130867,2.5656497932729914,0,2
2012-11-10,Everton,Sunderland,2.0,1.0,H,2012,H,2.053698435277383,0.7978545088836744,2,0
2012-11-10,Reading,Norwich,0.0,0.0,D,2012,D,1.5540540540540542,1.1800201139792155,1,1
2012-11-10,Southampton,Swansea,1.0,1.0,D,2012,D,1.1557610241820768,1.019108280254777,1,1
2012-11-10,Stoke,QPR,1.0,0.0,H,2012,H,1.1948790896159318,0.8358475807352778,1,0
2012-11-10,Wigan,West Brom,1.0,2.0,A,2012,D,1.4793741109530585,1.8303721086154883,1,1
