Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Year,AST,AS,HST,HS,Hg,Ag,PFTAG,PFTHG,MHT,MAT,PFTR
2001-09-29,Bolton,Sunderland,0.0,2.0,A,2001,7.0,14.0,8.0,15.0,3,17,1,2,2.01786128242084,1.7298840501591377,H
2001-09-29,Charlton,Leicester,2.0,0.0,H,2001,6.0,9.0,12.0,14.0,4,11,1,3,3.1660600960177283,1.7237461104421377,H
2001-09-29,Derby,Arsenal,0.0,2.0,A,2001,6.0,11.0,5.0,7.0,6,0,1,1,1.371433501401887,1.5946574439967254,D
2001-09-29,Everton,West Ham,5.0,0.0,H,2001,5.0,15.0,11.0,18.0,7,19,1,2,2.7869869658276354,1.007620505275367,H
2001-09-29,Middlesbrough,Southampton,1.0,3.0,A,2001,4.0,8.0,3.0,5.0,14,16,1,0,0.8586830457973537,1.1305712320037782,A
2001-09-29,Tottenham,Man United,3.0,5.0,A,2001,9.0,18.0,3.0,7.0,18,13,2,0,0.8096038848422197,2.129425928929382,A
2001-09-30,Aston Villa,Blackburn,2.0,0.0,H,2001,1.0,4.0,2.0,5.0,1,2,0,0,0.5777682375175247,0.40216974740300493,D
2001-09-30,Fulham,Chelsea,1.0,1.0,D,2001,3.0,9.0,1.0,4.0,8,5,0,0,0.3213930097152596,0.7371672929505385,D
2001-09-30,Ipswich,Leeds,1.0,2.0,A,2001,7.0,11.0,6.0,11.0,9,10,1,1,1.5541899877714467,1.923517049827258,D
2001-09-30,Newcastle,Liverpool,0.0,2.0,A,2001,2.0,6.0,3.0,7.0,15,12,0,0,0.8096038848422197,0.6019406867881252,D
2001-10-13,Bolton,Newcastle,0.0,4.0,A,2001,8.0,15.0,3.0,9.0,3,15,1,0,0.7605247238870845,1.9941993227669688,A
2001-10-13,Charlton,Middlesbrough,0.0,0.0,D,2001,4.0,11.0,4.0,8.0,4,14,0,1,1.0659791126444829,0.9369382323356588,H
2001-10-13,Chelsea,Leicester,2.0,0.0,H,2001,2.0,8.0,10.0,22.0,5,11,0,2,2.4079138356375336,0.4728520203427117,H
2001-10-13,Ipswich,Everton,0.0,0.0,D,2001,6.0,9.0,4.0,7.0,9,7,1,1,1.0905186931220499,1.7237461104421377,D
2001-10-13,Liverpool,Leeds,1.0,1.0,D,2001,3.0,9.0,2.0,10.0,12,10,0,0,0.45507033512969103,0.7371672929505385,D
2001-10-13,Southampton,Arsenal,0.0,2.0,A,2001,8.0,21.0,0.0,3.0,16,0,1,0,0.0650177819129935,1.6069333234307261,A
2001-10-13,Sunderland,Man United,1.0,3.0,A,2001,8.0,13.0,7.0,15.0,17,13,2,1,1.7369464741410052,2.123287989212379,A
2001-10-14,Aston Villa,Fulham,2.0,0.0,H,2001,3.0,11.0,3.0,9.0,1,8,0,0,0.7605247238870845,0.6080786265051265,D
2001-10-14,Blackburn,West Ham,7.0,1.0,H,2001,5.0,12.0,14.0,24.0,2,19,1,3,3.482493907801715,1.2012535049434865,H
2001-10-15,Tottenham,Derby,3.0,1.0,H,2001,6.0,8.0,12.0,24.0,18,6,1,2,2.920664291242046,1.7882904436648441,H
2001-10-20,Arsenal,Blackburn,3.0,3.0,D,2001,5.0,9.0,11.0,18.0,0,2,1,2,2.7869869658276354,1.394886504611607,H
2001-10-20,Derby,Charlton,1.0,1.0,D,2001,7.0,11.0,5.0,10.0,6,4,1,1,1.297814759969186,1.923517049827258,D
2001-10-20,Everton,Aston Villa,3.0,2.0,H,2001,3.0,11.0,6.0,10.0,7,1,0,1,1.5787295682490152,0.6080786265051265,H
2001-10-20,Leicester,Liverpool,1.0,4.0,A,2001,6.0,12.0,3.0,8.0,11,12,1,0,0.7850643043646521,1.530113110774018,A
2001-10-20,Man United,Bolton,1.0,2.0,A,2001,2.0,7.0,6.0,13.0,13,3,0,1,1.5051108268163111,0.5373963535654185,H
2001-10-20,West Ham,Southampton,2.0,0.0,H,2001,3.0,10.0,8.0,20.0,19,16,0,1,1.8951633800330105,0.6726229597278316,H
2001-10-21,Fulham,Ipswich,1.0,1.0,D,2001,2.0,6.0,3.0,7.0,8,9,0,0,0.8096038848422197,0.6019406867881252,D
2001-10-21,Leeds,Chelsea,0.0,0.0,D,2001,6.0,14.0,12.0,18.0,10,5,1,3,3.067901774107457,1.4010244443286046,H
2001-10-21,Newcastle,Tottenham,0.0,2.0,A,2001,3.0,9.0,3.0,8.0,15,18,0,0,0.7850643043646521,0.7371672929505385,D
2001-10-22,Middlesbrough,Sunderland,2.0,0.0,H,2001,5.0,15.0,5.0,7.0,14,17,1,1,1.371433501401887,1.007620505275367,D
2001-10-24,Aston Villa,Charlton,1.0,0.0,H,2001,0.0,4.0,6.0,16.0,1,4,0,1,1.431492085383611,0.07331014157247176,H
2001-10-24,Southampton,Ipswich,3.0,3.0,D,2001,5.0,10.0,6.0,11.0,16,9,1,1,1.5541899877714467,1.3303421713888994,D
2001-10-24,West Ham,Chelsea,2.0,1.0,H,2001,5.0,15.0,4.0,10.0,19,5,1,1,1.01689995168935,1.007620505275367,D
2001-10-27,Aston Villa,Bolton,3.0,2.0,H,2001,5.0,9.0,7.0,10.0,1,3,1,1,1.859644376528848,1.394886504611607,D
2001-10-27,Charlton,Liverpool,0.0,2.0,A,2001,4.0,5.0,4.0,14.0,4,12,1,0,0.9187416297790816,1.324204231671899,A
2001-10-27,Everton,Newcastle,1.0,3.0,A,2001,4.0,6.0,8.0,18.0,7,15,1,1,1.9442425409881403,1.2596598984491896,D
2001-10-27,Fulham,Southampton,2.0,1.0,H,2001,5.0,11.0,5.0,19.0,8,16,1,1,1.076958535671077,1.265797838166195,D
2001-10-27,Man United,Leeds,1.0,1.0,D,2001,6.0,12.0,6.0,18.0,13,10,1,1,1.3824129244284755,1.530113110774018,D
