Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Year,AST,AS,HST,HS,Hg,Ag,PFTHG,BHT,PFTAG,BAT,PFTR
2012-10-21,QPR,Everton,1.0,1.0,D,2012,4.0,10.0,6.0,14.0,10,3,0,0.7383419711445854,1,1.068988648958361,A
2012-10-21,Sunderland,Newcastle,1.0,1.0,D,2012,7.0,10.0,6.0,16.0,14,8,1,1.8978371102466163,0,0.7178494985481271,H
2012-10-27,Arsenal,QPR,1.0,0.0,H,2012,3.0,4.0,11.0,21.0,0,10,2,2.122896460955774,0,0.4990268807756744,H
2012-10-27,Aston Villa,Norwich,1.0,1.0,D,2012,6.0,14.0,5.0,7.0,1,9,1,1.7866932571430942,1,1.2475779639703957,D
2012-10-27,Man City,Swansea,1.0,0.0,H,2012,5.0,9.0,5.0,10.0,6,15,1,1.4946455467424742,0,0.6096083270356514,H
2012-10-27,Reading,Fulham,3.0,3.0,D,2012,8.0,16.0,9.0,15.0,11,4,1,1.3403710914041824,1,1.6676913713867405,D
2012-10-27,Stoke,Sunderland,0.0,0.0,D,2012,3.0,6.0,6.0,11.0,13,14,1,1.0101851872736631,0,0.8136054634762587,H
2012-10-27,Wigan,West Ham,2.0,1.0,H,2012,11.0,15.0,13.0,17.0,19,18,1,1.14077833298511,1,1.3536919366587485,D
2012-10-28,Chelsea,Man United,2.0,3.0,A,2012,7.0,15.0,11.0,14.0,2,7,1,1.9419705137702994,0,0.87782392593492,H
2012-10-28,Everton,Liverpool,2.0,2.0,D,2012,5.0,12.0,8.0,17.0,3,5,1,1.2255598677882935,0,0.9804326862252692,H
2012-10-28,Newcastle,West Brom,2.0,1.0,H,2012,4.0,8.0,6.0,10.0,8,17,1,1.3596794309503868,1,1.7530193071051727,D
2012-10-28,Southampton,Tottenham,1.0,2.0,A,2012,4.0,11.0,6.0,11.0,12,16,1,1.7434457588036565,1,1.4557098189752973,D
2012-11-03,Fulham,Everton,2.0,2.0,D,2012,15.0,26.0,5.0,8.0,4,3,1,1.4539312916500617,0,0.982116503016079,H
2012-11-03,Man United,Arsenal,2.0,1.0,H,2012,3.0,7.0,7.0,11.0,7,0,1,1.6719757137096247,1,1.0481459543383222,D
2012-11-03,Norwich,Stoke,1.0,0.0,H,2012,3.0,8.0,8.0,12.0,9,13,1,1.4454814223284678,0,0.9889083095694885,H
2012-11-03,Sunderland,Aston Villa,0.0,1.0,A,2012,6.0,9.0,1.0,11.0,14,1,1,1.6680845231268233,0,0.7683267475177042,H
2012-11-03,Swansea,Chelsea,1.0,1.0,D,2012,7.0,11.0,7.0,9.0,15,2,0,0.9021863374659586,1,1.3676485500226807,A
2012-11-03,Tottenham,Wigan,0.0,1.0,A,2012,4.0,7.0,10.0,13.0,16,19,2,2.5930509764716723,0,0.9016447854330893,H
2012-11-03,West Ham,Man City,0.0,0.0,D,2012,8.0,18.0,1.0,6.0,18,6,1,1.1171167775732462,0,0.9304774041243584,H
2012-11-04,Liverpool,Newcastle,1.0,1.0,D,2012,3.0,10.0,12.0,20.0,5,8,2,2.4962454281887467,0,0.7534063460907466,H
2012-11-04,QPR,Reading,1.0,1.0,D,2012,8.0,18.0,12.0,23.0,10,11,1,1.3052805382129753,0,0.9465872044391788,H
2012-11-05,West Brom,Southampton,2.0,0.0,H,2012,5.0,9.0,6.0,16.0,17,12,2,2.3201830801579497,1,1.0205373851680288,H
2012-11-10,Arsenal,Fulham,3.0,3.0,D,2012,5.0,9.0,9.0,15.0,0,4,1,1.9503777243384985,0,0.9826758137689521,H
2012-11-10,Aston Villa,Man United,2.0,3.0,A,2012,7.0,16.0,7.0,10.0,1,7,1,1.271442899357069,1,1.5120587887239703,D
2012-11-10,Everton,Sunderland,2.0,1.0,H,2012,4.0,6.0,10.0,16.0,3,14,1,1.1677198381689349,0,0.7454000776547044,H
2012-11-10,Reading,Norwich,0.0,0.0,D,2012,3.0,10.0,3.0,7.0,11,9,1,1.5601118384918624,1,1.5190074012210162,D
2012-11-10,Southampton,Swansea,1.0,1.0,D,2012,3.0,5.0,5.0,11.0,12,15,1,1.4916179279188475,0,0.9851104610699086,H
2012-11-10,Stoke,QPR,1.0,0.0,H,2012,8.0,17.0,5.0,10.0,13,10,1,1.4253119921395816,0,0.5228865506749764,H
2012-11-10,Wigan,West Brom,1.0,2.0,A,2012,4.0,7.0,6.0,14.0,19,17,1,1.253732746851264,1,1.739840686867969,D
2012-11-11,Chelsea,Liverpool,1.0,1.0,D,2012,5.0,9.0,3.0,12.0,2,5,1,1.8982880059005016,0,0.82643866950782,H
2012-11-11,Man City,Tottenham,2.0,1.0,H,2012,2.0,6.0,8.0,16.0,6,16,1,1.7469845264052841,0,0.9008257068259133,H
2012-11-11,Newcastle,West Ham,0.0,1.0,A,2012,5.0,10.0,9.0,14.0,8,18,1,1.2371798044912505,1,1.3639456294744425,D
2012-11-17,Arsenal,Tottenham,5.0,2.0,H,2012,4.0,6.0,10.0,13.0,0,16,2,2.049526329681861,1,1.068955587203083,H
2012-11-17,Liverpool,Wigan,3.0,0.0,H,2012,3.0,9.0,11.0,22.0,5,19,2,2.477479479414754,0,0.694700667141292,H
2012-11-17,Man City,Aston Villa,5.0,0.0,H,2012,8.0,10.0,8.0,21.0,6,1,1,1.8853630482565198,0,0.6828941726376424,H
2012-11-17,Newcastle,Swansea,1.0,2.0,A,2012,9.0,15.0,10.0,27.0,8,15,1,1.289408994893391,1,1.147159702700213,D
2012-11-17,Norwich,Man United,1.0,0.0,H,2012,9.0,12.0,5.0,10.0,9,7,1,1.4043619004129047,1,1.5518818367979659,D
2012-11-17,QPR,Southampton,1.0,3.0,A,2012,15.0,21.0,7.0,13.0,10,12,1,1.0474024799359507,1,1.1716806117858525,D
2012-11-17,Reading,Everton,2.0,1.0,H,2012,11.0,21.0,4.0,12.0,11,3,1,1.046915543294371,1,1.3561130960352314,D
2012-11-17,West Brom,Chelsea,2.0,1.0,H,2012,12.0,19.0,6.0,8.0,17,2,1,1.378665990848211,1,1.4421828989867642,D
2012-11-18,Fulham,Sunderland,1.0,3.0,A,2012,9.0,12.0,13.0,18.0,4,14,1,1.4360131938884109,0,0.9543393657857544,H
2012-11-19,West Ham,Stoke,1.0,1.0,D,2012,6.0,12.0,11.0,16.0,18,13,1,1.3889960031553596,0,0.7329112716421916,H
2012-11-24,Aston Villa,Arsenal,0.0,0.0,D,2012,6.0,13.0,8.0,10.0,1,0,1,1.2489550406916483,1,1.4351091277305943,D
2012-11-24,Everton,Norwich,1.0,1.0,D,2012,4.0,8.0,9.0,14.0,3,9,1,1.7618470212065058,0,0.8592382142893352,H
2012-11-24,Man United,QPR,3.0,1.0,H,2012,6.0,10.0,10.0,15.0,7,10,2,2.236724852008451,0,0.5080120288390623,H
2012-11-24,Stoke,Fulham,1.0,0.0,H,2012,5.0,8.0,3.0,12.0,13,4,1,1.3094829685899987,1,1.0296598970674524,D
2012-11-24,Sunderland,West Brom,2.0,4.0,A,2012,6.0,11.0,12.0,19.0,14,17,1,1.3944633569028264,1,1.0481085236774048,D
2012-11-24,Wigan,Reading,3.0,2.0,H,2012,10.0,16.0,11.0,19.0,19,11,1,1.8260308506856573,1,1.1136658855129957,D
2012-11-25,Chelsea,Man City,0.0,0.0,D,2012,7.0,11.0,1.0,5.0,2,6,1,1.6075840380678696,0,0.7101649271267969,H
2012-11-25,Southampton,Newcastle,2.0,0.0,H,2012,3.0,8.0,10.0,17.0,12,8,2,2.1406972674577167,1,1.031038531771947,H
2012-11-25,Swansea,Liverpool,0.0,0.0,D,2012,14.0,21.0,8.0,17.0,15,5,1,1.1094655383184167,1,1.1285352124102648,D
2012-11-25,Tottenham,West Ham,3.0,1.0,H,2012,6.0,10.0,13.0,25.0,16,18,1,1.746757985989805,1,1.1108367629067244,D
2012-11-27,Aston Villa,Reading,1.0,0.0,H,2012,6.0,11.0,7.0,15.0,1,11,2,2.1195917467662073,0,0.9862596172096729,H
2012-11-27,Sunderland,QPR,0.0,0.0,D,2012,9.0,13.0,8.0,13.0,14,10,1,1.6009856207862934,0,0.47314863914402305,H
2012-11-28,Chelsea,Fulham,0.0,0.0,D,2012,7.0,8.0,13.0,17.0,2,4,2,2.3445801797620525,0,0.7951740962343755,H
2012-11-28,Everton,Arsenal,1.0,1.0,D,2012,9.0,12.0,10.0,14.0,3,0,1,1.2315867367082125,0,0.9883956272337799,H
2012-11-28,Man United,West Ham,1.0,0.0,H,2012,3.0,9.0,13.0,23.0,7,18,1,1.7726726035735072,0,0.8755743139797657,H
2012-11-28,Southampton,Norwich,1.0,1.0,D,2012,5.0,9.0,2.0,8.0,12,9,1,1.9310981437378476,1,1.2189043446998513,D
2012-11-28,Stoke,Newcastle,2.0,1.0,H,2012,6.0,7.0,5.0,11.0,13,8,1,1.689590435567758,0,0.793310636756025,H
2012-11-28,Swansea,West Brom,3.0,1.0,H,2012,2.0,6.0,8.0,13.0,15,17,1,1.2991119049923856,1,1.2214875340927207,D
2012-11-28,Tottenham,Liverpool,2.0,1.0,H,2012,9.0,14.0,7.0,14.0,16,5,1,1.6394708428847147,1,1.3190642810806341,D
2012-11-28,Wigan,Man City,0.0,2.0,A,2012,6.0,15.0,4.0,9.0,19,6,0,0.9067421522700456,1,1.3812877116930935,A
2012-12-01,Arsenal,Swansea,0.0,2.0,A,2012,10.0,12.0,8.0,10.0,0,15,1,1.7534874266423706,0,0.7233854698556192,H
2012-12-01,Fulham,Tottenham,0.0,3.0,A,2012,6.0,10.0,2.0,8.0,4,16,1,1.956104545376587,1,1.3138088259339946,D
2012-12-01,Liverpool,Southampton,1.0,0.0,H,2012,4.0,8.0,11.0,24.0,5,12,2,2.143622617599302,0,0.8715577580794724,H
2012-12-01,Man City,Everton,1.0,1.0,D,2012,5.0,8.0,6.0,9.0,6,3,1,1.2984967879005203,0,0.6733976630016196,H
2012-12-01,QPR,Aston Villa,1.0,1.0,D,2012,3.0,7.0,12.0,17.0,10,1,1,1.072041673374959,1,1.0840639329449164,D
2012-12-01,Reading,Man United,3.0,4.0,A,2012,5.0,10.0,7.0,10.0,11,7,1,1.1102035065745575,1,1.8410300257655865,D
2012-12-01,West Brom,Stoke,0.0,1.0,A,2012,4.0,6.0,11.0,14.0,17,13,1,1.7852154502386555,0,0.8054806400379024,H
2012-12-01,West Ham,Chelsea,3.0,1.0,H,2012,9.0,16.0,13.0,16.0,18,2,1,1.0726781188894532,1,1.3122501645567473,D
2012-12-02,Norwich,Sunderland,2.0,1.0,H,2012,6.0,16.0,5.0,7.0,9,14,1,1.3079846230503016,1,1.110793982389917,D
2012-12-03,Newcastle,Wigan,3.0,0.0,H,2012,4.0,9.0,8.0,16.0,8,19,1,1.8365854490650622,1,1.1070883729233834,D
2012-12-08,Arsenal,West Brom,2.0,0.0,H,2012,2.0,7.0,7.0,16.0,0,17,1,1.8490492899290518,1,1.1054334389112013,D
2012-12-08,Aston Villa,Stoke,0.0,0.0,D,2012,0.0,1.0,5.0,9.0,1,13,1,1.3086705713333087,0,0.9635318007277999,H
2012-12-08,Southampton,Reading,1.0,0.0,H,2012,2.0,6.0,9.0,18.0,12,11,2,2.290902297469447,0,0.9635919895483255,H
2012-12-08,Sunderland,Chelsea,1.0,3.0,A,2012,5.0,11.0,10.0,14.0,14,2,0,0.9684044799066178,1,1.1735233169927752,A
2012-12-08,Swansea,Norwich,3.0,4.0,A,2012,8.0,10.0,10.0,21.0,15,9,1,1.5949515035484472,0,0.9890333057003291,H
2012-12-08,Wigan,QPR,2.0,2.0,D,2012,4.0,8.0,9.0,14.0,19,10,1,1.4394125812498126,0,0.7854179550326356,H
2012-12-09,Everton,Tottenham,2.0,1.0,H,2012,6.0,8.0,11.0,17.0,3,16,1,1.5906414320495195,1,1.0261687152225132,D
2012-12-09,Man City,Man United,2.0,3.0,A,2012,3.0,8.0,11.0,16.0,6,7,1,1.3769932984915194,0,0.9141902106033118,H
2012-12-09,West Ham,Liverpool,2.0,3.0,A,2012,8.0,16.0,6.0,9.0,18,5,1,1.3191281636549708,1,1.0828224240568929,D
2012-12-10,Fulham,Newcastle,2.0,1.0,H,2012,13.0,20.0,7.0,16.0,4,8,2,2.4018112602612143,0,0.9305340290096636,H
2012-12-11,Sunderland,Reading,3.0,0.0,H,2012,5.0,12.0,11.0,16.0,14,11,2,2.0310015162723736,0,0.6708905682831028,H
2012-12-15,Liverpool,Aston Villa,1.0,3.0,A,2012,6.0,9.0,17.0,26.0,5,1,2,2.194049395602055,0,0.8063838570924241,H
2012-12-15,Man United,Sunderland,3.0,1.0,H,2012,10.0,13.0,6.0,15.0,7,14,1,1.5852713833649827,0,0.7904608784478725,H
2012-12-15,Newcastle,Man City,1.0,3.0,A,2012,10.0,16.0,8.0,17.0,8,6,0,0.9833663966372624,1,1.3917504318306992,A
2012-12-15,Norwich,Wigan,2.0,1.0,H,2012,6.0,12.0,10.0,16.0,9,19,2,2.1712301861605763,0,0.9986915639150866,H
2012-12-15,QPR,Fulham,2.0,1.0,H,2012,3.0,6.0,9.0,19.0,10,4,0,0.9453028374938489,1,1.314597691881528,A
2012-12-15,Stoke,Everton,1.0,1.0,D,2012,5.0,9.0,8.0,14.0,13,3,1,1.0227899439847965,0,0.8372863797420512,H
2012-12-16,Tottenham,Swansea,1.0,0.0,H,2012,0.0,4.0,16.0,24.0,16,15,1,1.8204996968595817,0,0.9342800351767413,H
2012-12-16,West Brom,West Ham,0.0,0.0,D,2012,2.0,10.0,10.0,19.0,17,18,1,1.8063656811510467,1,1.0021788439276098,D
2012-12-17,Reading,Arsenal,2.0,5.0,A,2012,17.0,25.0,5.0,7.0,11,0,1,1.0905674697864896,1,1.7473388032960946,D
2012-12-22,Liverpool,Fulham,4.0,0.0,H,2012,6.0,7.0,12.0,22.0,5,4,1,1.9346646411000727,0,0.9778670105041574,H
2012-12-22,Man City,Reading,1.0,0.0,H,2012,1.0,6.0,10.0,17.0,6,11,2,2.2955522676723294,0,0.5962922168703105,H
2012-12-22,Newcastle,QPR,1.0,0.0,H,2012,4.0,5.0,8.0,18.0,8,10,1,1.5610501395069303,0,0.7913671922443997,H
2012-12-22,Southampton,Sunderland,0.0,1.0,A,2012,6.0,10.0,7.0,13.0,12,14,1,1.2798963728131671,1,1.0574150195873135,D
2012-12-22,Tottenham,Stoke,0.0,0.0,D,2012,2.0,4.0,14.0,21.0,16,13,1,1.7263056849207288,0,0.8928122083051784,H
2012-12-22,West Brom,Norwich,2.0,1.0,H,2012,4.0,10.0,8.0,12.0,17,9,2,2.4373073540114807,1,1.0429338151133263,H
2012-12-22,West Ham,Everton,1.0,2.0,A,2012,8.0,15.0,5.0,6.0,18,3,1,1.2725550344639387,0,0.8472060789408102,H
2012-12-22,Wigan,Arsenal,0.0,1.0,A,2012,8.0,10.0,5.0,13.0,19,0,1,1.0759762765173029,1,1.6204983451148445,D
